Unloaded Date,Unloaded Timestamp,Warehouse Id,Shipment Id,Business Owner,ASIN,Order Id,Unloaded Quantity,PO Quantity
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S2Z2K7,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S2T4CH,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S2LCV8,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S2LCST,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S2L62W,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S2KC6B,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S2HRJ4,7JQA8HDW,1,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S2HRH4,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S2HKHB,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S2H2R4,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S26M7H,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S26M6H,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S251H4,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S24TFJ,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S24LKC,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S24HM3,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S23YNL,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S21W6L,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1ZYMS,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1Z9JH,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1YNFJ,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1Y3BD,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1XRPC,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1W1FG,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1SHB9,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1LSMS,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1JQMZ,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1DP8S,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1D8PP,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1D1K8,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S189TH,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S17W4K,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S1768S,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S11SKP,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZP937,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZN2PD,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZMBH1,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZM7QB,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZKXH6,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZKQZX,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZK6SY,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZJGD3,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZJ4RC,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZCPNV,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RZ37GV,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RYYP4G,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RYYP38,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RYQ1HP,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RY11ZH,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RXYZ5C,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RXPG8G,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RXMTDN,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RXLQKG,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RXHXNK,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RXGQVJ,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RXDBHL,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RX817N,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RX817G,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RX7887,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RWTPHL,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RWT9FW,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RWSBZS,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RWHBRM,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RW2GX4,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RVNL27,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RVN868,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RVL8JM,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RVJYCZ,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RVJYCW,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RVHPKK,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RVGQKR,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RVD8SK,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RV951C,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RV926N,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RS1YY5,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RRTVSF,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RRS748,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RRJB1T,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2RRHWZ6,7JQA8HDW,5,5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
